run_id,task_id,tier,executor_model,executor_id,run_n,orch_tok_in,orch_tok_out,orch_usd,exec_tok_in,exec_tok_out,exec_usd,wallclock_s,gate_pass,quality_verdict,first_shot,retries,notes
smoke-cloud-001,CH-B1,T3_flash,deepseek-v4-flash,deepseek/deepseek-v4-flash,1,,,0.0,15000,6300,0.003864,,pass,pass,true,0,Phase 0 cloud smoke; in-harness tokens (M18 cross-check confirmed accurate 2026-07-04); platform model_usage T-1 returns 0 today; PAYG balance 27.04; branch delegated/run-7466c395
smoke-local-001,CH-B1,local,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,,,0.0,16000,295,0.0,,pass,pass,true,0,Phase 0 local smoke; local model free ($0); in-harness tokens; branch delegated/run-6c81de9e; minor dup-key smell (learnmachinelearning defined twice, same value)
chb3-deepseek-deepseek-v4-flash-run1,CH-B3,T3_flash,deepseek-v4-flash,deepseek/deepseek-v4-flash,1,,,,40000,808,0.005826,72,pass,pass,True,0,"branch=delegated/run-da1ab641; diff='src/content_hoarder/db.py           | 6 ++++++\n src/content_hoarder/search_query.py | 6 ++++++\n 2 files changed, 12 insertions(+)'; suite='FAILED tests/test_bakeoff_ch_b7_high_skip_buckets.py::test_min_support_keyword_is_honored'; unexpected_failures=[]; oracle_changed=False; scope_clean=True; applied=True; committed=True; end_branch=main; end_clean=True"
